119,2,,,,,,,,,,,,,,,,,,,B,,C,,B,,,,,,J,X,,X
120,2,,,,,,,,,,A,,,,,,,,,,C,,,,,,C,,,,X,X,
121,1,,A,,A,,,,,,,,,,,,,,,,,,,,C,,,C,,,X,X,X
122,2,,,,,,,,,,,,A,,A,,A,,B,,B,,B,,C,,A,,C,,X,X,
123,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X
124,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,D,X,X,X
125,2,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,X,X,X
126,2,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,X,X,X
127,1,,,,,,,,,A,,,,,,A,,,,,,E,,,,,,,,,X,X,X
128,1,,,,D,C,B,B,,,,,,,,,,,,,,,,,,,,C,,,X,X,X
129,2,,,G,,B,,J,,B,,,,B,,B,,,,,,,,,,,,,,,X,X,X
130,1,,A,A,C,F,B,E,,,,,,,A,,,,A,,B,,B,,,,,,,,X,X,
131,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,X,X,X
