1,,,,,,,,,,,,,,,,,C,,C,,B,,,,,,,,,X,X
2,,,,,,,,,,,,,,,,,,C,,B,,C,,,,,,A,,X,
1,D,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,X,X
2,D,,F,,G,,,B,E,,,,,,,,,,,,,,,,,,,,,X,X
1,A,E,F,C,I,B,F,C,F,A,,,D,B,,,,A,,A,,A,,,,C,,D,,X,
2,,E,E,,,A,,,C,,,,,,,,,A,,,,,,,,,,E,,X,X
2,,,,,B,,D,,E,,,,,,E,B,,,,A,,,,,,,,,J,X,X
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,,X
1,,,,,,,B,,D,,,,,,F,,C,D,B,,,,C,,,B,,,,X,X
1,,,,,,,,,,,,,,,,,,,,,,,,,,B,,B,,X,
2,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,X,X
2,,A,C,A,E,C,D,C,H,,,,C,,,D,D,,,,D,,,,,,,,,X,X
2,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,X,X
2,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,X,X
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,X,X
1,,,,,,,,,,,,,,,,,,,A,,E,,,,,,,,,X,X
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,I,,
1,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,X,X
2,,B,A,,H,,D,,C,,B,,C,,B,,,,,,,,,,,,,,,X,X
1,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,X,X
1,E,,,,G,,C,,D,,A,,C,,E,,,,C,B,,A,,C,,C,,D,,X,
2,,F,C,B,,,I,,,,,,,,,,,,,,,,,,,,,,,,X
2,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,I,X,X
2,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,X,X
1,B,D,,,I,C,G,,,,,,,,,,,,,,,,,,,,,,,X,X
1,E,B,,,A,,E,,A,,A,,A,,,,,,,,,,,,,,,,,X,X
2,B,,F,,E,,,,,,,,D,,,,,A,,,,,,,,,,,,X,X
2,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,X,X
2,,F,,,,,A,,,,,B,,,,,,,,,,,,,,,,,,X,X
2,,C,,A,,,,,B,,,,A,,,,,,,,,,,,,,,,,X,X
1,,,G,,,,E,,,,,,,,,,,,,,,,,,,,,,,X,X
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,G,,
2,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,X,X
2,C,A,,B,,,C,,,,,,,,,,,,,,,,,,,,,,,X,X
2,,,,A,,C,,,,,,B,,A,,B,,C,,C,,A,,B,,A,,,F,,X
1,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,X,X
2,,,,,,,,,,,,,,A,,C,,,,A,,,,,,,,,,X,X
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,X,X
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,X,X
1,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,A,X,X
2,,,,,,,,,,,,,,,,,,,,,,,,,,,C,E,,X,
1,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,X,X
1,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,X,X
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,X,
2,,,,,,,I,,,,,,,,C,,,A,,,D,,B,,,,,,D,X,X
2,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,X,X
1,,,,,,,,,,,,,,,,,,,,,B,,C,A,,B,,A,,,
2,,,,,,,,,,,,,,B,,C,,,,,,,,,,,,,,X,X
2,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,X,X
2,,F,F,B,A,,,A,B,,,,,B,A,,,,,,,,,,,,,,,X,X
2,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,X,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,,X
1,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,X,X
2,,,,,,,,,,,,,,,,,D,,B,,A,,A,,,,,,I,,X
2,,,,,,,,,,,,,,,,,,,,,,,A,,,,A,,A,,X
2,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,X,X
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,X,X
2,A,,E,,C,,,,G,,,,,,C,,,,,,,,,,,,,,,X,X
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,X
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,X
2,,D,,,E,,J,,,,,,,,,,,,,,,,,,,,,,,X,X
2,E,,A,,,,,,G,,C,,,,D,,A,,,,A,,,,,,B,,H,,X
1,D,B,,D,,A,G,C,A,,,C,A,,,,,D,C,B,C,,,,,,,,,X,X
1,A,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,X,
1,,,,,,,,,,,,,,,,,,,C,C,B,B,,C,,,,,,X,X
1,E,,G,,,,A,,,,,,,,,,,,,,,,,,,,,,,X,X
2,,,,,,,,,,,,,,,,B,,,,,D,,A,,,,,,A,,X
2,,,,,H,,E,,,,,,,,,,,,,,,,,,,,,,,X,X
1,E,,,D,,,,B,,,,,,,,,B,,,,,,,,,,,,,X,X
1,,E,,,F,,,,,,,,,,,,,,A,,E,,C,,,B,,C,I,,
1,,,,,,A,J,B,,,,,B,B,,,C,B,A,,,,,,,,,,,X,X
2,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,X,X
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,X
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,X
2,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,X,X
2,,,,,,,C,,E,,,,,,,A,,,B,,C,,A,,,,B,,F,,
2,,C,,,,,,,,A,,,,,,,,,,,,,,,,,,,,X,X
2,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,X,X
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,B,,
2,,D,,,A,,A,,,,,,,,,,,,,,,,,,,,,,B,,
2,,,D,,D,,,,H,,C,,,,C,,,,,,C,,,,,,,,,X,X
2,,,,,,,,,,,,,B,,,,,C,,,,,,,,,,,K,,
2,,,,,H,,K,,,,A,,,,,,A,,,,,,,,,,,,,X,X
2,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,X,X
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,X,
1,D,,D,,I,,F,,,,,,A,,,,C,,A,,E,,C,,,,A,,,X,X
2,,C,,B,,A,F,,,,,A,,B,,D,,,,,,A,,,,,,,,X,X
1,A,C,,,,B,H,C,G,,B,,,,,,,,,,,,,,,,,,,X,X
2,,,,,,,,,,,,,,,,,,B,,A,,A,,B,,A,,A,,X,
2,,,,,,,,,,A,,,,,,,,D,,,,,,,,,,,K,,X
1,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,X,X
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,X,
2,,,,,,,G,,,,,,,,,,,D,B,B,D,,,A,,,,E,,X,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,,X
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,X
2,,,,,,,,,,,,,,,,,,D,,,A,,,C,,,,E,,X,
2,,,,D,,C,,B,,,,,,,,,,,,,,,,,,,,,,X,X
2,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,X,X
1,A,B,D,C,D,A,A,A,D,,,A,C,A,D,C,,B,,C,,,,A,,B,A,C,C,,
2,C,,G,,,,,,C,,,,,,,,,,,,,,,,,,,,,X,X
1,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,X,X
1,B,B,,C,,C,C,B,F,A,B,A,D,B,,,,,,,,,,,,,,,,X,X
1,D,A,,,,C,,,,,,,,,,,B,,,,,,,,,,,,,X,X
2,,,,,G,,K,,H,,C,,D,,E,,B,,,,,,,,,,,,,X,X
2,,,,,,,G,,,,,,,,,,B,,,,,,,,,,,,E,,X
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,X
2,,,,,,,,,,,,,,,,A,D,B,,C,A,C,B,A,,A,C,D,G,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,
1,,,,,,,,,,,B,,C,,,,,,,A,,B,,A,,B,,A,,X,
2,,,,,,,,,,,,,,,,,,,,,,B,B,B,,C,B,B,E,,
1,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,X,X
2,,,,,,,,,,,,,,,,,,,B,,C,,B,,,,,,J,,X
2,,,,,,,,,,A,,,,,,,,,,C,,,,,,C,,,,X,
1,,A,,A,,,,,,,,,,,,,,,,,,,,C,,,C,,,X,X
2,,,,,,,,,,,,A,,A,,A,,B,,B,,B,,C,,A,,C,,X,X
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,D,,
2,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,X,X
2,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,X,X
1,,,,,,,,,A,,,,,,A,,,,,,E,,,,,,,,,X,X
1,,,,D,C,B,B,,,,,,,,,,,,,,,,,,,,C,,,X,X
2,,,G,,B,,J,,B,,,,B,,B,,,,,,,,,,,,,,,X,X
1,,A,A,C,F,B,E,,,,,,,A,,,,A,,B,,B,,,,,,,,X,X
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,X,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
