2,,,,,G,,K,,H,,C,,D,,E,,B,,,,,,,,,,,,
2,,,,,,,G,,,,,,,,,,B,,,,,,,,,,,,E
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A
2,,,,,,,,,,,,,,,,A,D,B,,C,A,C,B,A,,A,C,D,G
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A
1,,,,,,,,,,,B,,C,,,,,,,A,,B,,A,,B,,A,
2,,,,,,,,,,,,,,,,,,,,,,B,B,B,,C,B,B,E
1,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,
2,,,,,,,,,,,,,,,,,,,B,,C,,B,,,,,,J
2,,,,,,,,,,A,,,,,,,,,,C,,,,,,C,,,
1,,A,,A,,,,,,,,,,,,,,,,,,,,C,,,C,,
2,,,,,,,,,,,,A,,A,,A,,B,,B,,B,,C,,A,,C,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,D
2,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,
2,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,
1,,,,,,,,,A,,,,,,A,,,,,,E,,,,,,,,
1,,,,D,C,B,B,,,,,,,,,,,,,,,,,,,,C,,
2,,,G,,B,,J,,B,,,,B,,B,,,,,,,,,,,,,,
1,,A,A,C,F,B,E,,,,,,,A,,,,A,,B,,B,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F
