	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51
66	128	0.0	2.0	3.0	4.0	5.0	1.0	130.0	8.0	11.0	18.0	20.0	22.0	23.0	25.0	26.0	30.0	42.0	66.0	70.0	74.0	76.0	81.0	86.0	91.0	92.0	93.0	95.0	99.0	102.0	103.0	105.0	108.0	109.0	111.0	119.0	122.0	126.0	127.0													
67	67	4.0	105.0	61.0	93.0																																															
68	72	97.0	68.0	25.0																																																
69	32	69.0	9.0	117.0	90.0																																															
70	0	130.0	4.0	20.0	36.0	44.0	49.0	66.0	70.0	101.0	102.0	105.0	113.0	115.0	116.0	117.0	119.0	120.0	121.0	122.0																																
71	65	129.0	71.0	105.0	74.0	106.0	20.0	85.0	26.0	29.0	31.0																																									
72	97	99.0	36.0	68.0	6.0	72.0	41.0	42.0	11.0	47.0	112.0	81.0	114.0	57.0	58.0	25.0																																				
73	130	73.0	18.0	88.0	26.0	31.0																																														
74	128	65.0	66.0	3.0	98.0	71.0	103.0	74.0	76.0	108.0	109.0	110.0	111.0	113.0	20.0	26.0																																				
75	130	131.0	4.0	5.0	6.0	8.0	9.0	15.0	16.0	17.0	22.0	49.0	54.0	57.0	62.0	75.0	76.0	77.0	84.0	91.0	93.0	99.0	100.0	105.0	115.0	116.0	117.0	118.0	122.0	127.0																						
76	0	129.0	2.0	3.0	4.0	5.0	8.0	15.0	50.0	52.0	64.0	66.0	74.0	75.0	76.0	87.0	91.0	92.0	94.0	103.0	105.0	108.0	113.0	122.0																												
77	130	75.0	77.0																																																	
78	124	78.0	47.0																																																	
79	105	60.0	79.0																																																	
80	80	129.0	18.0																																																	
81	3	131.0	6.0	8.0	20.0	22.0	35.0	36.0	57.0	58.0	65.0	66.0	72.0	81.0	86.0	99.0	108.0	113.0	117.0	119.0	122.0																															
82	96	4.0	108.0	82.0	120.0	92.0	93.0	30.0	95.0																																											
83	51	83.0	93.0																																																	
84	131	7.0	105.0	42.0	75.0	16.0	84.0	85.0	54.0	57.0	122.0	91.0	63.0																																							
85	64	71.0	105.0	52.0	85.0	84.0	25.0	26.0	29.0	63.0																																										
86	65	66.0	105.0	11.0	110.0	47.0	81.0	119.0	86.0	22.0	91.0	28.0	61.0																																							
87	129	2.0	1.0	36.0	7.0	76.0	87.0	95.0																																												
88	65	73.0	110.0	18.0	20.0	88.0	89.0	26.0	59.0																																											
89	88	89.0	110.0																																																	
90	32	69.0	5.0	9.0	113.0	117.0	90.0																																													
91	0	2.0	3.0	4.0	7.0	8.0	15.0	17.0	25.0	26.0	30.0	42.0	49.0	54.0	58.0	66.0	75.0	76.0	84.0	86.0	91.0	92.0	105.0	109.0	116.0	118.0	127.0																									
92	4	5.0	11.0	13.0	20.0	21.0	30.0	35.0	36.0	50.0	52.0	66.0	76.0	82.0	91.0	92.0	93.0	94.0	105.0	108.0	122.0																															
93	128	130.0	4.0	6.0	11.0	18.0	30.0	42.0	51.0	61.0	62.0	65.0	66.0	67.0	75.0	82.0	83.0	92.0	93.0	105.0	107.0	108.0	115.0																													
94	1	4.0	36.0	6.0	38.0	105.0	76.0	124.0	113.0	49.0	115.0	116.0	20.0	117.0	122.0	92.0	94.0																																			
95	96	66.0	99.0	4.0	102.0	7.0	8.0	105.0	108.0	47.0	82.0	87.0	120.0	63.0	95.0																																					
96	96	4.0	108.0	82.0	120.0	95.0																																														
97	97	4.0	68.0	72.0	46.0	113.0	20.0	25.0																																												
98	113	98.0	74.0	111.0																																																
99	1	130.0	5.0	8.0	11.0	20.0	25.0	43.0	47.0	49.0	57.0	66.0	72.0	75.0	81.0	95.0	99.0	102.0	105.0	111.0	113.0	115.0	116.0	117.0	119.0	122.0																										
100	100	75.0	16.0	22.0	57.0																																															
101	65	4.0	101.0	70.0	119.0	62.0																																														
102	65	66.0	99.0	121.0	5.0	102.0	70.0	8.0	43.0	113.0	20.0	57.0	122.0	95.0																																						
103	128	66.0	3.0	36.0	103.0	74.0	11.0	108.0	109.0	76.0	25.0																																									
104	104	65.0	105.0																																																	
